제목,기관명,채용분야,고용형태,학력정보,채용구분,근무지,채용인원,공고기간
한국공공조직은행 2022년 제6차 직원 채용 공고,재단법인 한국공공조직은행,"사업관리,경영.회계.사무,보건.의료,정보통신",정규직,학력무관,신입+경력,"서울,대전,광주,경기",12,22.12.30 ~ 23.01.14
한전KDN(주) 기간제근로자 채용 공고(공공사업부),한전KDN,정보통신,비정규직,학력무관,신입+경력,경기,1,22.12.29 ~ 23.01.02
한국국방연구원 2023년도 정기 2차 채용 공고,한국국방연구원,"사업관리,경영.회계.사무,교육.자연.사회과학,법률.경찰.소방.교도.국방,전기.전자,정보통신,환경.에너지.안전,연구","정규직,무기계약직,비정규직,청년인턴(체험형)","학력무관,대졸(4년),석사,박사",신입+경력,"서울,충남",24,22.12.29 ~ 23.01.13
2022년 울산과학기술원 4차 직원 채용 공고,울산과학기술원,"경비.청소,기계,재료,정보통신",무기계약직,"학력무관,대졸(4년),석사",신입,"울산,경북",5,22.12.29 ~ 23.01.13
민주화운동기념사업회 2023년 제1차 직원 채용,민주화운동기념사업회,"사업관리,경영.회계.사무,교육.자연.사회과학,정보통신","정규직,무기계약직,비정규직",학력무관,신입+경력,경기,8,22.12.29 ~ 23.01.12
(23-0-2) KPS사업본부 특수사업직 채용공고,한국항공우주연구원,"사업관리,기계,전기.전자,정보통신,연구",비정규직,"대졸(4년),석사,박사",신입+경력,대전,2,22.12.29 ~ 23.01.12
(23-0-1) 2023년도 1분기 1차 별정직(유기계약직) 채용공고,한국항공우주연구원,"사업관리,경영.회계.사무,기계,전기.전자,정보통신,연구",비정규직,"학력무관,대졸(4년),석사,박사",신입+경력,"대전,전남,제주",4,22.12.29 ~ 23.01.12
'23년 국방 핵심기술(무기체계 패키지형) 과제관리 인력 채용 모집 공고,국방기술품질원,"사업관리,기계,재료,전기.전자,정보통신,연구",비정규직,"대졸(4년),석사,박사",신입+경력,"대전,경남",22,22.12.28 ~ 23.01.11
KAIST 정보전자연구소 일상 항시적 건강관리 Earable-IoT 연구센터 위촉연구원 모집 공고,한국과학기술원,정보통신,비정규직,석사,신입+경력,대전,1,22.12.28 ~ 23.01.13
[한국수자원공사] 충남지역협력단 예산현대화사업팀 특수직(건설사업_기술관리) 채용공고,한국수자원공사,"건설,기계,전기.전자,정보통신",비정규직,학력무관,신입+경력,충남,1,22.12.27 ~ 23.01.05
전북지사 기간제계약직(육아휴직 대체인력) 채용 공고,(주)한국가스기술공사,"건설,기계,재료,화학,전기.전자,정보통신,환경.에너지.안전",비정규직,학력무관,신입,"충남,전북",1,22.12.26 ~ 23.01.09
KAIST 정보전자연구소 이성주 교수(NMSL연구실) 연수연구원 모집 공고,한국과학기술원,"정보통신,연구",비정규직,박사,신입+경력,대전,2,22.12.26 ~ 23.01.11
2023년 상반기 대한체육회 신입직원(전문기술직) 공개채용,대한체육회,"경영.회계.사무,보건.의료,음식서비스,기계,정보통신",정규직,학력무관,신입+경력,"서울,강원,충북",11,22.12.26 ~ 23.01.10
2022년 한국건강증진개발원 3차 위촉직(위촉전문원) 채용 공고,한국건강증진개발원,"사업관리,경영.회계.사무,교육.자연.사회과학,보건.의료,문화.예술.디자인.방송,정보통신",비정규직,"대졸(2~3년),대졸(4년),석사,박사",신입+경력,서울,14,22.12.26 ~ 23.01.09
한전KDN(주) 기간제근로자 채용 공고(공공사업부),한전KDN,정보통신,비정규직,학력무관,경력,인천,3,22.12.26 ~ 23.01.01
